Cellular Automaton Rules Discovery
Neighborhood Type: moore
Total Unique Patterns: 166
High Confidence Rules: 166

======================================================================

Inferred B/S Notation: B3/S23
Birth: [3]
Survival: [2, 3]

======================================================================

Detailed Rules:

1. Pattern: 00000000 + state=0 → 0 (confidence: 1.00, n=14216)
2. Pattern: 00000001 + state=0 → 0 (confidence: 1.00, n=106)
3. Pattern: 00000100 + state=0 → 0 (confidence: 1.00, n=106)
4. Pattern: 00100000 + state=0 → 0 (confidence: 1.00, n=106)
5. Pattern: 10000000 + state=0 → 0 (confidence: 1.00, n=106)
6. Pattern: 00001000 + state=0 → 0 (confidence: 1.00, n=68)
7. Pattern: 00010000 + state=0 → 0 (confidence: 1.00, n=68)
8. Pattern: 00000010 + state=0 → 0 (confidence: 1.00, n=68)
9. Pattern: 01000000 + state=0 → 0 (confidence: 1.00, n=68)
10. Pattern: 00000011 + state=0 → 0 (confidence: 1.00, n=61)
11. Pattern: 00000110 + state=0 → 0 (confidence: 1.00, n=61)
12. Pattern: 01100000 + state=0 → 0 (confidence: 1.00, n=61)
13. Pattern: 11000000 + state=0 → 0 (confidence: 1.00, n=61)
14. Pattern: 00001001 + state=0 → 0 (confidence: 1.00, n=61)
15. Pattern: 00010100 + state=0 → 0 (confidence: 1.00, n=61)
16. Pattern: 00101000 + state=0 → 0 (confidence: 1.00, n=61)
17. Pattern: 10010000 + state=0 → 0 (confidence: 1.00, n=61)
18. Pattern: 00000111 + state=0 → 1 (confidence: 1.00, n=56)
19. Pattern: 00001000 + state=1 → 0 (confidence: 1.00, n=56)
20. Pattern: 00011000 + state=1 → 1 (confidence: 1.00, n=56)
21. Pattern: 00010000 + state=1 → 0 (confidence: 1.00, n=56)
22. Pattern: 11100000 + state=0 → 1 (confidence: 1.00, n=56)
23. Pattern: 00000010 + state=1 → 0 (confidence: 1.00, n=56)
24. Pattern: 00101001 + state=0 → 1 (confidence: 1.00, n=56)
25. Pattern: 01000010 + state=1 → 1 (confidence: 1.00, n=56)
26. Pattern: 10010100 + state=0 → 1 (confidence: 1.00, n=56)
27. Pattern: 01000000 + state=1 → 0 (confidence: 1.00, n=56)
28. Pattern: 01111110 + state=0 → 0 (confidence: 1.00, n=50)
29. Pattern: 11011011 + state=0 → 0 (confidence: 1.00, n=50)
30. Pattern: 00100100 + state=0 → 0 (confidence: 1.00, n=40)
31. Pattern: 00000101 + state=0 → 0 (confidence: 1.00, n=40)
32. Pattern: 10000001 + state=0 → 0 (confidence: 1.00, n=40)
33. Pattern: 00011101 + state=0 → 0 (confidence: 1.00, n=40)
34. Pattern: 10111000 + state=0 → 0 (confidence: 1.00, n=40)
35. Pattern: 10100000 + state=0 → 0 (confidence: 1.00, n=40)
36. Pattern: 00100001 + state=0 → 0 (confidence: 1.00, n=40)
37. Pattern: 01100011 + state=0 → 0 (confidence: 1.00, n=40)
38. Pattern: 11000110 + state=0 → 0 (confidence: 1.00, n=40)
39. Pattern: 10000100 + state=0 → 0 (confidence: 1.00, n=40)
40. Pattern: 01010000 + state=0 → 0 (confidence: 1.00, n=39)
41. Pattern: 01001000 + state=0 → 0 (confidence: 1.00, n=39)
